city,rank,image,region,country,stadium,capacity,home_team,location
Lucknow,227,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/K_D_Singh_Babu_Stadium.jpg/250px-K_D_Singh_Babu_Stadium.jpg,South Asia,India,KD Singh Babu Stadium,0,,"[26.8553535, 80.9376841]"
Auckland,228,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Auckland_EdenPark.jpg/250px-Auckland_EdenPark.jpg,Oceania,New Zealand,Eden Park,0,Auckland Blues  New Zealand Warriors,"[-36.8750352, 174.7440567]"
Luanda,229,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Football_stadium_%286178263468%29.jpg/250px-Football_stadium_%286178263468%29.jpg,Africa,Angola,Estádio 11 de Novembro,0,Angola national football team  Primeiro de Agosto  Petro Luanda,"[-8.969921, 13.2835311]"
Zhengzhou  Henan,230,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Henan Provincial Stadium,0,,"[34.8374127, 113.6228562]"
Nanchang  Jiangxi,231,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Jiangxi Olympic Sports Center,0,,"[28.6472124, 116.0348483]"
Nuremberg,232,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Frankenstadion_2.JPG/250px-Frankenstadion_2.JPG,Europe,Germany,Max-Morlock-Stadion,0,1. FC Nürnberg,"[49.4262569, 11.1256706]"
Tripoli,233,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/11_June_Stadium_BenTaher.jpg/250px-11_June_Stadium_BenTaher.jpg,Africa,Libya,June 11 Stadium,0,Libya  Al-Ahly SC  Al-Ittihad Tripoli  Al-Madina SC,"[32.8598956, 13.135806]"
Urumqi  Xinjiang,234,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Xinjiang Sports Centre Stadium,0,,"[43.8407522, 87.5264865]"
Pyongyang,235,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/North_Korea_v_Philippines%2C_8_October_2015_F.png/250px-North_Korea_v_Philippines%2C_8_October_2015_F.png,East Asia,North Korea,Kim Il-sung Stadium,0,Pyongyang City Sports Club,"[39.0438585, 125.7577377]"
Hiroshima,236,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Arch_Stadium_Panorama.jpg/250px-Big_Arch_Stadium_Panorama.jpg,East Asia,Japan,EDION Stadium Hiroshima,0,Sanfrecce Hiroshima,"[34.4015066, 132.4545843]"
Shiraz,237,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Pars_Stadium_Photos_Image_6.jpg/250px-Pars_Stadium_Photos_Image_6.jpg,West Asia,Iran,Pars Shiraz Stadium,0,Fajr Sepasi Shiraz FC,"[29.6060218, 52.5378041]"
Bamako,238,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Stade_du_26-mars.png/250px-Stade_du_26-mars.png,Africa,Mali,Stade du 26 mars,0,Stade Malien,"[12.6043766, -7.9217374]"
Dakar,239,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Africa,Senegal,Stade Abdoulaye Wade,0,Senegal national football team,"[14.7327571, -17.2014923]"
Kuala Terengganu,240,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg/250px-Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg,Southeast Asia,Malaysia,Sultan Mizan Zainal Abidin Stadium,0,Terengganu FA,"[5.3697135, 103.1056812]"
Guadalajara,241,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Omnilife_Stadium.png/250px-Omnilife_Stadium.png,North America,Mexico,Estadio Akron,0,C.D. Guadalajara,"[20.6818469, -103.4626718]"
Lusaka,242,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Africa,Zambia,Levy Mwanawasa Stadium,0,Zesco United,"[-12.9755312, 28.6112268]"
Kaiserslautern,243,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kaiserslautern_18.JPG/250px-Kaiserslautern_18.JPG,Europe,Germany,Fritz-Walter-Stadion,0,1. FC Kaiserslautern,"[49.4345765, 7.7766303]"
Buenos Aires,244,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Argentina_A_vs_Inglaterra_A_02.JPG/250px-Argentina_A_vs_Inglaterra_A_02.JPG,South America,Argentina,Estadio José Amalfitani,0,CA Vélez Sársfield,"[-34.6353382, -58.5206788]"
Beirut,245,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png/250px-Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png,West Asia,Lebanon,Camille Chamoun Sports City Stadium,0,Lebanon national football team  Al Ahed FC  Al Ansar FC  Nejmeh SC,"[33.8670781, 35.4951176]"
Rifu  Miyagi,246,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/MiyagiStadiumTrackField.jpg/250px-MiyagiStadiumTrackField.jpg,East Asia,Japan,Miyagi Stadium,0,Vegalta Sendai,"[38.3353606, 140.9504567]"
Incheon,247,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Munhak_Stadium_Corner.jpg/250px-Munhak_Stadium_Corner.jpg,East Asia,South Korea,Incheon Munhak Stadium,0,,"[37.4350773, 126.6907516]"
Hanover,248,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HDI_Arena%2C_WM_Stadion_2006.jpg/250px-HDI_Arena%2C_WM_Stadion_2006.jpg,Europe,Germany,Heinz-von-Heiden-Arena,0,Hannover 96,"[52.360026, 9.7310161]"
Paris,249,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/PSG-Nantes_Parc_des_Princes_05.jpg/250px-PSG-Nantes_Parc_des_Princes_05.jpg,Europe,France,Parc des Princes,0,Paris Saint-Germain,"[48.8413634, 2.2530693]"
Sunderland  Tyne and Wear,250,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Stadium_of_Light%2C_Sunderland_afc.jpg/250px-Stadium_of_Light%2C_Sunderland_afc.jpg,Europe,England,Stadium of Light,0,Sunderland AFC,"[54.9143953, -1.3882579]"
Santiago,251,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Adios_Matador.jpg/250px-Adios_Matador.jpg,South America,Chile,Estadio Nacional,0,Chile national football team  CF Universidad de Chile,"[-33.4623809, -70.6062176]"
Port Elizabeth  Eastern Cape,252,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg/250px-Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg,Africa,South Africa,Nelson Mandela Bay Stadium,0,Chippa United FC,"[-33.937792, 25.5994087]"
Buenos Aires,253,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Estadio_huracan_interior_tribuna_gcba.jpg/250px-Estadio_huracan_interior_tribuna_gcba.jpg,South America,Argentina,Estadio Tomás Adolfo Ducó,0,CA Huracán,"[-34.6434539, -58.3965026]"
Islamabad,254,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jinnah_Sports_Stadium_track_and_field.jpg/250px-Jinnah_Sports_Stadium_track_and_field.jpg,South Asia,Pakistan,Jinnah Sports Stadium,0,Pakistan national football team,"[33.7004059, 73.0928604]"
Avellaneda,255,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Estadio_Libertadores_de_America_2014.JPG/250px-Estadio_Libertadores_de_America_2014.JPG,South America,Argentina,Estadio Libertadores de América,0,Club Atlético Independiente,"[-34.6702227, -58.3710378]"
Bloemfontein  Free State,256,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Free_State_Stadium1.jpg/250px-Free_State_Stadium1.jpg,Africa,South Africa,Free State Stadium,0,Bloemfontein Celtic  Toyota Cheetahs,"[-29.1172351, 26.2087696]"
Osaka,257,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Nagai_stadium20040717.jpg/250px-Nagai_stadium20040717.jpg,East Asia,Japan,Nagai Stadium,0,Cerezo Osaka  NTT DoCoMo Red Hurricanes Osaka,"[34.6153577, 135.5165441]"
São Paulo  São Paulo,258,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg/250px-Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg,South America,Brazil,Neo Química Arena,0,Corinthians,"[-23.5453328, -46.4743055]"
Toronto  Ontario,259,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Toronto_-_ON_-_Rogers_Centre2.jpg/250px-Toronto_-_ON_-_Rogers_Centre2.jpg,North America,Canada,Rogers Centre,0,Toronto FC  Toronto Argonauts,"[43.6416599, -79.3891976]"
Santiago,260,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Monumental_2009.jpg/250px-Estadio_Monumental_2009.jpg,South America,Chile,Estadio Monumental,0,Colo-Colo,"[-33.5064372, -70.6059468]"
Florence,261,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Soccer_in_Florence%2C_Italy%2C_2007.jpg/250px-Soccer_in_Florence%2C_Italy%2C_2007.jpg,Europe,Italy,Stadio Artemio Franchi,0,ACF Fiorentina,"[43.3216868, 11.326179]"
Lanús,262,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG/250px-Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG,South America,Argentina,Estadio Ciudad de Lanús – Néstor Díaz Pérez,0,CA Lanús,"[-34.7176585, -58.3839562]"
Barranquilla,263,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Estadio_Metropolitano_de_Baranquilla_2011.jpg/250px-Estadio_Metropolitano_de_Baranquilla_2011.jpg,South America,Colombia,Estadio Metropolitano Roberto Meléndez,0,Colombia national football team  Atlético Junior,"[10.9269548, -74.8005111]"
Rio de Janeiro  Rio de Janeiro,264,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg/250px-Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg,South America,Brazil,Estádio Olímpico Nilton Santos,0,Botafogo FR,"[-22.893194, -43.2935691]"
São Lourenço da Mata  Pernambuco,265,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Panorama_of_Arena_Pernambuco.jpg/250px-Panorama_of_Arena_Pernambuco.jpg,South America,Brazil,Itaipava Arena Pernambuco,0,Náutico,"[-8.0407296, -35.0082334]"
Belo Horizonte  Minas Gerais,266,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg/250px-Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg,South America,Brazil,Arena MRV,0,C Atlético Mineiro,"[-19.9300116, -44.0138813]"
Presidente Prudente  São Paulo,267,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg/250px-Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg,South America,Brazil,Estádio Paulo Constantino,0,Grêmio Prudente,"[-22.098568, -51.4150621]"
Medellín,268,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Atanasio_Girardot_Stadium.jpg/250px-Atanasio_Girardot_Stadium.jpg,South America,Colombia,Estadio Atanasio Girardot,0,Atlético Nacional  Independiente Medellín,"[6.2568266999999995, -75.5901467]"
Seville,269,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sevilla2-1Lega20182.jpg/250px-Sevilla2-1Lega20182.jpg,Europe,Spain,Estadio Ramón Sánchez Pizjuán,0,Sevilla FC,"[37.3840876, -5.9706309]"
Agadir,270,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Stade-Adrar2019.png/250px-Stade-Adrar2019.png,Africa,Morocco,Adrar Stadium,0,Hassania Agadir  Morocco national team,"[30.4274409, -9.540254000000001]"
Moscow,271,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Match_veteranov_Spartaka_%2813%29.jpg/250px-Match_veteranov_Spartaka_%2813%29.jpg,Europe,Russia,Lukoil Arena,0,Spartak Moscow,"[55.8175885, 37.4406099]"
Marrakesh,272,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Stade_de_marrakech.jpg/250px-Stade_de_marrakech.jpg,Africa,Morocco,Grand stade de Marrakech,0,Kawkab Marrakech  Morocco national team,"[31.7069985, -7.9803776]"
Kampala,273,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Mandela_National_Stadium%2C_Uganda.JPG/250px-Mandela_National_Stadium%2C_Uganda.JPG,Africa,Uganda,Mandela National Stadium,0,Uganda national football team,"[0.3472441, 32.6588627]"
Wrocław,274,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg/250px-Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg,Europe,Poland,Tarczyński Arena Wrocław,0,Śląsk Wrocław,"[51.1411861, 16.9438067]"
Kazan,275,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Poland_v._Colombia_%2842095441565%29.jpg/250px-Poland_v._Colombia_%2842095441565%29.jpg,Europe,Russia,Kazan Arena,0,Rubin Kazan,"[55.8231963, 49.1641317]"
Cusco,276,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Estadio_garcilaso_cienciano.jpg/250px-Estadio_garcilaso_cienciano.jpg,South America,Peru,Estadio Inca Garcilaso de la Vega,0,CS Cienciano  Deportivo Garcilaso  Cusco FC,"[-13.5255188, -71.9664761]"
Sidi Bel Abbès,277,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stade_24_F%C3%A9vrier_1956.jpg/250px-Stade_24_F%C3%A9vrier_1956.jpg,Africa,Algeria,24 February 1956 Stadium,0,USM Bel Abbès,"[34.682268, -0.43575549999999996]"
Maputo,278,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Africa,Mozambique,Estádio da Machava,0,Mozambique national football team,"[-25.9174099, 32.5263788]"
Surabaya  East Java,279,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Southeast Asia,Indonesia,Stadion Gelora Bung Tomo,0,Persebaya Surabaya,"[-7.2231559, 112.6227833]"
Banda Aceh  Aceh,280,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Southeast Asia,Indonesia,Stadion Harapan Banga,0,Persiraja  Aceh United,"[5.5527974, 95.3000921]"
Asunción,281,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Estadio_General_Pablo_Rojas.jpg/250px-Estadio_General_Pablo_Rojas.jpg,South America,Paraguay,Estadio General Pablo Rojas,0,Club Cerro Porteño,"[-25.2999926, -57.6376558]"
Latakia,282,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,West Asia,Syria,Latakia Sports City Stadium,0,,"[35.5200185, 35.7781044]"
Zibo  Shandong,283,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Zibo Sports Centre Stadium,0,,"[36.8132476, 117.9828384]"
Weifang  Shandong,284,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Weifang Sports Centre Stadium,0,,"[36.7290476, 119.0630983]"
Yantai  Shandong,285,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Yantai Sports Park Stadium,0,,"[37.462892, 121.4535599]"
Seremban,286,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg/250px-Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg,Southeast Asia,Malaysia,Stadium Tuanku Abdul Rahman,0,ATM FA  Negeri Sembilan,"[2.7262398, 101.9826177]"
Fes,287,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Complexe_sportif_de_F%C3%A8s.jpg/250px-Complexe_sportif_de_F%C3%A8s.jpg,Africa,Morocco,Stade du Complexe sportif de Fès,0,Wydad de Fès  Maghreb de Fès  Morocco national team,"[34.00272, -4.9689618]"
Lagos,288,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Africa,Nigeria,Lagos National Stadium,0,Nigeria national football team,"[6.4971425, 3.364988]"
Suez,289,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Africa,Egypt,Egyptian Army Stadium,0,,"[29.974498, 32.537086]"
Toyota City  Aichi,290,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/JPNxGEO20180623_%283%29.jpg/250px-JPNxGEO20180623_%283%29.jpg,East Asia,Japan,Toyota Stadium,0,Nagoya Grampus  Toyota Verblitz,"[35.0845879, 137.1708735]"
Abu Dhabi,291,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg/250px-Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg,West Asia,United Arab Emirates,Zayed Sports City Stadium,0,,"[24.4161286, 54.45363]"
Leipzig,292,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Leipzig_stadium.jpg/250px-Leipzig_stadium.jpg,Europe,Germany,Red Bull Arena,0,RB Leipzig,"[51.3457078, 12.3482361]"
Teresina,293,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,South America,Brazil,Estádio Governador Alberto Tavares Silva,0,River AC  EC Flamengo  Piauí EC  SE Tiradentes  Auto EC,"[-5.0874608, -42.8049571]"
Campo Grande  Mato Grosso do Sul,294,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/0253l.jpg/250px-0253l.jpg,South America,Brazil,Estádio Universitário Pedro Pedrossian,0,EC Comercial  Operário FC,"[-20.4640173, -54.6162947]"
Ulsan,295,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Munsu_20121110_204310_5.jpg/250px-Munsu_20121110_204310_5.jpg,East Asia,South Korea,Ulsan Munsu Football Stadium,0,Ulsan HD FC,"[35.535263, 129.2594949]"
Cuiabá  Mato Grosso,296,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Arena_Pantanal.jpg/250px-Arena_Pantanal.jpg,South America,Brazil,Arena Pantanal,0,Cuiabá  Mixto EC,"[-15.604064900000001, -56.1222989]"
Manaus  Amazonas,297,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Arena_Amaz%C3%B4nia_Manaus.jpg/250px-Arena_Amaz%C3%B4nia_Manaus.jpg,South America,Brazil,Arena da Amazônia,0,Nacional FC,"[-3.0831132, -60.0280052]"
Suwon,298,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/20121003_Suwon_vs_Seoul.jpg/250px-20121003_Suwon_vs_Seoul.jpg,East Asia,South Korea,Suwon World Cup Stadium,0,Suwon Samsung Bluewings,"[37.2864084, 127.036805]"
Pekanbaru  Riau,299,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Riau_Main_Stadium_%28cropped%29.JPG/250px-Riau_Main_Stadium_%28cropped%29.JPG,Southeast Asia,Indonesia,Stadion Utama Riau,0,PSPS Pekanbaru,"[0.4836139, 101.3896017]"
São Paulo  São Paulo,300,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg/250px-Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg,South America,Brazil,Allianz Parque,0,SE Palmeiras,"[-23.5274971, -46.6785281]"
Jinan  Shandong,301,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SHANGDONGSPORTS.jpg/250px-SHANGDONGSPORTS.jpg,East Asia,China,Shandong Provincial Stadium,0,,"[36.6464766, 117.0057846]"
Gdańsk,302,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg/250px-Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg,Europe,Poland,Polsat Plus Arena Gdańsk,0,Lechia Gdańsk,"[54.3899193, 18.6404]"
Buenos Aires,303,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Platea_Este_Nuevo_Gasometro_1.jpg/250px-Platea_Este_Nuevo_Gasometro_1.jpg,South America,Argentina,Estadio Pedro Bidegain,0,CA San Lorenzo de Almagro,"[-34.6520908, -58.4401364]"
